true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,grad_norm,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-374.96636962890625,-55.940185546875,-272.53106689453125,0.0,-545.0621337890625,73.07804870605469,False,,,1,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-54,1623526014,6.7354209423065186,6.7354209423065186,177416,LOGGI004112,192.168.15.44,6.7354209423065186,0,1,58b1f_00047
-342.578125,-55.940185546875,-291.13550821940106,0.0,-545.0621337890625,78.13699340820312,False,,,2,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-54,1623526014,0.163377046585083,6.898797988891602,177416,LOGGI004112,192.168.15.44,6.898797988891602,0,2,58b1f_00047
-320.6387023925781,-55.940185546875,-312.72608947753906,0.0,-545.0621337890625,59.354766845703125,False,,,3,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-54,1623526014,0.16735529899597168,7.066153287887573,177416,LOGGI004112,192.168.15.44,7.066153287887573,0,3,58b1f_00047
-305.07562255859375,-55.940185546875,-299.56304321289065,0.0,-545.0621337890625,54.71189498901367,False,,,4,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-55,1623526015,0.16558289527893066,7.231736183166504,177416,LOGGI004112,192.168.15.44,7.231736183166504,0,4,58b1f_00047
-291.879638671875,-55.940185546875,-326.0220540364583,0.0,-545.0621337890625,56.27572250366211,False,,,5,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-55,1623526015,0.17048430442810059,7.4022204875946045,177416,LOGGI004112,192.168.15.44,7.4022204875946045,0,5,58b1f_00047
-280.321044921875,-55.940185546875,-335.84903390066967,0.0,-545.0621337890625,54.71240234375,False,,,6,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-55,1623526015,0.16500067710876465,7.567221164703369,177416,LOGGI004112,192.168.15.44,7.567221164703369,0,6,58b1f_00047
-269.92352294921875,-55.940185546875,-314.6384525299072,0.0,-545.0621337890625,40.538822174072266,False,,,7,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-55,1623526015,0.1661696434020996,7.733390808105469,177416,LOGGI004112,192.168.15.44,7.733390808105469,0,7,58b1f_00047
-260.67926025390625,-55.940185546875,-299.1077524820964,0.0,-545.0621337890625,45.35441589355469,False,,,8,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-55,1623526015,0.16520237922668457,7.898593187332153,177416,LOGGI004112,192.168.15.44,7.898593187332153,0,8,58b1f_00047
-249.99253845214844,-55.940185546875,-301.02653045654296,0.0,-545.0621337890625,44.8559455871582,False,,,9,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-56,1623526016,0.1683192253112793,8.066912412643433,177416,LOGGI004112,192.168.15.44,8.066912412643433,0,9,58b1f_00047
-240.9698028564453,-55.940185546875,-288.5278500643644,0.0,-545.0621337890625,41.07499313354492,False,,,10,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-56,1623526016,0.16527271270751953,8.232185125350952,177416,LOGGI004112,192.168.15.44,8.232185125350952,0,10,58b1f_00047
-235.02667236328125,-55.940185546875,-283.5349833170573,0.0,-545.0621337890625,34.51131820678711,False,,,11,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-56,1623526016,0.1748642921447754,8.407049417495728,177416,LOGGI004112,192.168.15.44,8.407049417495728,0,11,58b1f_00047
-230.023681640625,-55.940185546875,-276.9302732027494,0.0,-545.0621337890625,33.24484634399414,False,,,12,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-56,1623526016,0.1398935317993164,8.546942949295044,177416,LOGGI004112,192.168.15.44,8.546942949295044,0,12,58b1f_00047
-223.0004119873047,-55.940185546875,-272.8766555786133,0.0,-545.0621337890625,40.06528091430664,False,,,13,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-56,1623526016,0.13470721244812012,8.681650161743164,177416,LOGGI004112,192.168.15.44,8.681650161743164,0,13,58b1f_00047
-217.29751586914062,-55.940185546875,-268.18995259602866,0.0,-545.0621337890625,30.093467712402344,False,,,14,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-56,1623526016,0.13388609886169434,8.815536260604858,177416,LOGGI004112,192.168.15.44,8.815536260604858,0,14,58b1f_00047
-212.0784912109375,-55.940185546875,-260.47370433807373,0.0,-545.0621337890625,28.52869415283203,False,,,15,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-56,1623526016,0.1544945240020752,8.970030784606934,177416,LOGGI004112,192.168.15.44,8.970030784606934,0,15,58b1f_00047
-205.3353729248047,-55.940185546875,-262.60196551154644,0.0,-545.0621337890625,32.37471008300781,False,,,16,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-57,1623526017,0.16276884078979492,9.132799625396729,177416,LOGGI004112,192.168.15.44,9.132799625396729,0,16,58b1f_00047
-200.73565673828125,-55.940185546875,-256.6690207587348,0.0,-545.0621337890625,27.275081634521484,False,,,17,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-57,1623526017,0.1723482608795166,9.305147886276245,177416,LOGGI004112,192.168.15.44,9.305147886276245,0,17,58b1f_00047
-195.84579467773438,-55.940185546875,-256.7052797016345,0.0,-545.0621337890625,28.949750900268555,False,,,18,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-57,1623526017,0.1683025360107422,9.473450422286987,177416,LOGGI004112,192.168.15.44,9.473450422286987,0,18,58b1f_00047
-190.15785217285156,-55.940185546875,-253.66555557250976,0.0,-545.0621337890625,31.624319076538086,False,,,19,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-57,1623526017,0.1721189022064209,9.645569324493408,177416,LOGGI004112,192.168.15.44,9.645569324493408,0,19,58b1f_00047
-184.99827575683594,-55.940185546875,-253.5987803141276,0.0,-545.0621337890625,27.251588821411133,False,,,20,9da94eb726c745aca6be46d5c5a22549,2021-06-12_16-26-57,1623526017,0.16480159759521484,9.810370922088623,177416,LOGGI004112,192.168.15.44,9.810370922088623,0,20,58b1f_00047
