true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-523.6414794921875,62.068275451660156,-419.25133722478694,0.0,-897.1070556640625,False,,,1,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-44,1623076964,7.5777130126953125,7.5777130126953125,41559,LOGGI004112,192.168.15.44,7.5777130126953125,0,1,67d8a_00268
-515.4016723632812,62.068275451660156,-475.47642662411647,0.0,-897.1070556640625,False,,,2,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-45,1623076965,0.31798386573791504,7.8956968784332275,41559,LOGGI004112,192.168.15.44,7.8956968784332275,0,2,67d8a_00268
-507.31085205078125,62.068275451660156,-497.7919218001827,0.0,-897.1070556640625,False,,,3,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-45,1623076965,0.2297520637512207,8.125448942184448,41559,LOGGI004112,192.168.15.44,8.125448942184448,0,3,67d8a_00268
-499.400634765625,62.068275451660156,-522.2223603783584,0.0,-897.1070556640625,False,,,4,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-45,1623076965,0.23125362396240234,8.35670256614685,41559,LOGGI004112,192.168.15.44,8.35670256614685,0,4,67d8a_00268
-494.66265869140625,62.068275451660156,-513.667667463714,0.0,-897.1070556640625,False,,,5,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-45,1623076965,0.22475743293762207,8.581459999084473,41559,LOGGI004112,192.168.15.44,8.581459999084473,0,5,67d8a_00268
-489.625244140625,62.068275451660156,-510.0662173912173,0.0,-897.1070556640625,False,,,6,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-46,1623076966,0.2416236400604248,8.823083639144897,41559,LOGGI004112,192.168.15.44,8.823083639144897,0,6,67d8a_00268
-485.36663818359375,62.068275451660156,-500.447378024249,0.0,-897.1070556640625,False,,,7,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-46,1623076966,0.22048234939575195,9.04356598854065,41559,LOGGI004112,192.168.15.44,9.04356598854065,0,7,67d8a_00268
-483.79864501953125,62.068275451660156,-489.90289137098523,0.0,-897.1070556640625,False,,,8,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-46,1623076966,0.23961758613586426,9.283183574676514,41559,LOGGI004112,192.168.15.44,9.283183574676514,0,8,67d8a_00268
-480.09442138671875,62.068275451660156,-485.58618600027904,0.0,-927.2794799804688,False,,,9,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-46,1623076966,0.2287287712097168,9.51191234588623,41559,LOGGI004112,192.168.15.44,9.51191234588623,0,9,67d8a_00268
-477.29150390625,62.068275451660156,-484.5394973754883,-211.17898559570312,-927.2794799804688,False,,,10,87941240b05b456b9510020fa2abe870,2021-06-07_11-42-47,1623076967,0.2641148567199707,9.776027202606201,41559,LOGGI004112,192.168.15.44,9.776027202606201,0,10,67d8a_00268
