true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-262.728271484375,66.66514587402344,-224.02800473299894,0.0,-513.24951171875,False,,,1,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-27,1623079347,6.36277437210083,6.36277437210083,50909,LOGGI004112,192.168.15.44,6.36277437210083,0,1,67d8a_00345
-253.6930389404297,66.66514587402344,-257.1052758353097,0.0,-534.9827270507812,False,,,2,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-27,1623079347,0.1746826171875,6.53745698928833,50909,LOGGI004112,192.168.15.44,6.53745698928833,0,2,67d8a_00345
-247.7439422607422,66.66514587402344,-262.7863053352602,0.0,-534.9827270507812,False,,,3,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-27,1623079347,0.18454766273498535,6.722004652023315,50909,LOGGI004112,192.168.15.44,6.722004652023315,0,3,67d8a_00345
-242.94761657714844,66.66514587402344,-256.06387608225754,0.0,-534.9827270507812,False,,,4,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-27,1623079347,0.18880391120910645,6.910808563232422,50909,LOGGI004112,192.168.15.44,6.910808563232422,0,4,67d8a_00345
-238.03314208984375,66.66514587402344,-254.918908960679,0.0,-534.9827270507812,False,,,5,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-27,1623079347,0.19390320777893066,7.1047117710113525,50909,LOGGI004112,192.168.15.44,7.1047117710113525,0,5,67d8a_00345
-233.9047088623047,66.66514587402344,-245.60556267910317,0.0,-534.9827270507812,False,,,6,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-28,1623079348,0.1859569549560547,7.290668725967407,50909,LOGGI004112,192.168.15.44,7.290668725967407,0,6,67d8a_00345
-230.36996459960938,66.66514587402344,-238.75981989041182,0.0,-534.9827270507812,False,,,7,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-28,1623079348,0.22202801704406738,7.512696743011475,50909,LOGGI004112,192.168.15.44,7.512696743011475,0,7,67d8a_00345
-225.61627197265625,66.66514587402344,-241.24150311505352,0.0,-546.196533203125,False,,,8,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-28,1623079348,0.24099087715148926,7.753687620162964,50909,LOGGI004112,192.168.15.44,7.753687620162964,0,8,67d8a_00345
-222.2794647216797,66.66514587402344,-240.49827793666296,0.0,-546.196533203125,False,,,9,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-28,1623079348,0.25069522857666016,8.004382848739624,50909,LOGGI004112,192.168.15.44,8.004382848739624,0,9,67d8a_00345
-218.76675415039062,66.66514587402344,-243.412971572876,-90.74242401123047,-546.196533203125,False,,,10,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-28,1623079348,0.17643260955810547,8.18081545829773,50909,LOGGI004112,192.168.15.44,8.18081545829773,0,10,67d8a_00345
-216.11122131347656,66.66514587402344,-238.5429524230957,-93.47975158691406,-573.6624755859375,False,,,11,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-29,1623079349,0.18444371223449707,8.365259170532227,50909,LOGGI004112,192.168.15.44,8.365259170532227,0,11,67d8a_00345
-213.17205810546875,66.66514587402344,-233.60555679321288,-93.47975158691406,-573.6624755859375,False,,,12,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-29,1623079349,0.17471837997436523,8.539977550506592,50909,LOGGI004112,192.168.15.44,8.539977550506592,0,12,67d8a_00345
-210.544189453125,66.66514587402344,-225.96566970825197,-93.47975158691406,-573.6624755859375,False,,,13,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-29,1623079349,0.18830657005310059,8.728284120559692,50909,LOGGI004112,192.168.15.44,8.728284120559692,0,13,67d8a_00345
-207.73255920410156,66.66514587402344,-222.10261001586915,-93.47975158691406,-573.6624755859375,False,,,14,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-29,1623079349,0.1809678077697754,8.909251928329468,50909,LOGGI004112,192.168.15.44,8.909251928329468,0,14,67d8a_00345
-205.3126678466797,66.66514587402344,-216.37419876098633,-93.47975158691406,-573.6624755859375,False,,,15,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-29,1623079349,0.19358158111572266,9.10283350944519,50909,LOGGI004112,192.168.15.44,9.10283350944519,0,15,67d8a_00345
-202.0592498779297,66.66514587402344,-221.5496987915039,-93.47975158691406,-573.6624755859375,False,,,16,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-30,1623079350,0.20195913314819336,9.304792642593384,50909,LOGGI004112,192.168.15.44,9.304792642593384,0,16,67d8a_00345
-199.7171630859375,66.66514587402344,-221.59935348510743,-93.47975158691406,-573.6624755859375,False,,,17,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-30,1623079350,0.1876218318939209,9.492414474487305,50909,LOGGI004112,192.168.15.44,9.492414474487305,0,17,67d8a_00345
-197.7565460205078,66.66514587402344,-211.87924110412598,-93.47975158691406,-573.6624755859375,False,,,18,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-30,1623079350,0.19917726516723633,9.691591739654541,50909,LOGGI004112,192.168.15.44,9.691591739654541,0,18,67d8a_00345
-195.43113708496094,66.66514587402344,-210.82686820983886,-102.52362060546875,-573.6624755859375,False,,,19,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-30,1623079350,0.22150850296020508,9.913100242614746,50909,LOGGI004112,192.168.15.44,9.913100242614746,0,19,67d8a_00345
-193.3505401611328,66.66514587402344,-205.71626251220704,-102.52362060546875,-573.6624755859375,False,,,20,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-31,1623079351,0.259002685546875,10.172102928161621,50909,LOGGI004112,192.168.15.44,10.172102928161621,0,20,67d8a_00345
-191.38815307617188,66.66514587402344,-208.06101440429688,-102.52362060546875,-459.125732421875,False,,,21,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-31,1623079351,0.2611582279205322,10.433261156082153,50909,LOGGI004112,192.168.15.44,10.433261156082153,0,21,67d8a_00345
-189.58383178710938,66.66514587402344,-201.70266983032226,-89.3892822265625,-459.125732421875,False,,,22,1135269cb2a54379b32a00769df40ee0,2021-06-07_12-22-31,1623079351,0.28203678131103516,10.715297937393188,50909,LOGGI004112,192.168.15.44,10.715297937393188,0,22,67d8a_00345
