true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,grad_norm,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-411.1808776855469,-55.940185546875,-280.93829345703125,0.0,-561.8765869140625,36.36270523071289,False,,,1,34145465d4b44abb94401752f829e201,2021-06-12_16-21-29,1623525689,5.755552768707275,5.755552768707275,175897,LOGGI004112,192.168.15.44,5.755552768707275,0,1,58b1f_00038
-405.5842590332031,-55.940185546875,-315.78037516276044,0.0,-561.8765869140625,23.342931747436523,False,,,2,34145465d4b44abb94401752f829e201,2021-06-12_16-21-29,1623525689,0.1657698154449463,5.921322584152222,175897,LOGGI004112,192.168.15.44,5.921322584152222,0,2,58b1f_00038
-398.9462585449219,-55.940185546875,-362.7763214111328,0.0,-561.8765869140625,20.10277557373047,False,,,3,34145465d4b44abb94401752f829e201,2021-06-12_16-21-29,1623525689,0.12982916831970215,6.051151752471924,175897,LOGGI004112,192.168.15.44,6.051151752471924,0,3,58b1f_00038
-393.50970458984375,-55.940185546875,-347.22913818359376,0.0,-561.8765869140625,22.304929733276367,False,,,4,34145465d4b44abb94401752f829e201,2021-06-12_16-21-29,1623525689,0.23402094841003418,6.285172700881958,175897,LOGGI004112,192.168.15.44,6.285172700881958,0,4,58b1f_00038
-386.9697570800781,-55.940185546875,-372.03700256347656,0.0,-561.8765869140625,26.039331436157227,False,,,5,34145465d4b44abb94401752f829e201,2021-06-12_16-21-30,1623525690,0.12215614318847656,6.407328844070435,175897,LOGGI004112,192.168.15.44,6.407328844070435,0,5,58b1f_00038
-379.8810729980469,-55.940185546875,-389.0619201660156,0.0,-561.8765869140625,25.269460678100586,False,,,6,34145465d4b44abb94401752f829e201,2021-06-12_16-21-30,1623525690,0.12343263626098633,6.530761480331421,175897,LOGGI004112,192.168.15.44,6.530761480331421,0,6,58b1f_00038
-378.16143798828125,-55.940185546875,-388.32070541381836,0.0,-561.8765869140625,19.287479400634766,False,,,7,34145465d4b44abb94401752f829e201,2021-06-12_16-21-30,1623525690,0.2786295413970947,6.809391021728516,175897,LOGGI004112,192.168.15.44,6.809391021728516,0,7,58b1f_00038
-373.73553466796875,-55.940185546875,-390.1064181857639,0.0,-561.8765869140625,22.774978637695312,False,,,8,34145465d4b44abb94401752f829e201,2021-06-12_16-21-30,1623525690,0.20241856575012207,7.011809587478638,175897,LOGGI004112,192.168.15.44,7.011809587478638,0,8,58b1f_00038
-366.7472229003906,-55.940185546875,-376.6394989013672,0.0,-561.8765869140625,20.84055519104004,False,,,9,34145465d4b44abb94401752f829e201,2021-06-12_16-21-31,1623525691,0.20090103149414062,7.212710618972778,175897,LOGGI004112,192.168.15.44,7.212710618972778,0,9,58b1f_00038
-357.90185546875,-55.940185546875,-385.8470764160156,0.0,-561.8765869140625,24.25541877746582,False,,,10,34145465d4b44abb94401752f829e201,2021-06-12_16-21-31,1623525691,0.20422911643981934,7.416939735412598,175897,LOGGI004112,192.168.15.44,7.416939735412598,0,10,58b1f_00038
-349.1791687011719,-55.940185546875,-396.74133046468097,0.0,-561.8765869140625,24.840517044067383,False,,,11,34145465d4b44abb94401752f829e201,2021-06-12_16-21-31,1623525691,0.21057462692260742,7.627514362335205,175897,LOGGI004112,192.168.15.44,7.627514362335205,0,11,58b1f_00038
-343.6165466308594,-55.940185546875,-390.5498492901142,0.0,-561.8765869140625,17.364240646362305,False,,,12,34145465d4b44abb94401752f829e201,2021-06-12_16-21-31,1623525691,0.176039457321167,7.803553819656372,175897,LOGGI004112,192.168.15.44,7.803553819656372,0,12,58b1f_00038
-338.150146484375,-55.940185546875,-391.7124786376953,0.0,-561.8765869140625,27.582548141479492,False,,,13,34145465d4b44abb94401752f829e201,2021-06-12_16-21-31,1623525691,0.17318177223205566,7.976735591888428,175897,LOGGI004112,192.168.15.44,7.976735591888428,0,13,58b1f_00038
-334.1356201171875,-55.940185546875,-413.553261311849,0.0,-719.32421875,25.2541446685791,False,,,14,34145465d4b44abb94401752f829e201,2021-06-12_16-21-32,1623525692,0.16750264167785645,8.144238233566284,175897,LOGGI004112,192.168.15.44,8.144238233566284,0,14,58b1f_00038
-330.7687072753906,-55.940185546875,-418.74145126342773,0.0,-719.32421875,23.308210372924805,False,,,15,34145465d4b44abb94401752f829e201,2021-06-12_16-21-32,1623525692,0.16909551620483398,8.313333749771118,175897,LOGGI004112,192.168.15.44,8.313333749771118,0,15,58b1f_00038
-329.5238342285156,-55.940185546875,-410.3450245576746,0.0,-719.32421875,14.212028503417969,False,,,16,34145465d4b44abb94401752f829e201,2021-06-12_16-21-32,1623525692,0.17518305778503418,8.488516807556152,175897,LOGGI004112,192.168.15.44,8.488516807556152,0,16,58b1f_00038
-325.6754150390625,-55.940185546875,-411.56333923339844,0.0,-719.32421875,20.10610580444336,False,,,17,34145465d4b44abb94401752f829e201,2021-06-12_16-21-32,1623525692,0.16834044456481934,8.656857252120972,175897,LOGGI004112,192.168.15.44,8.656857252120972,0,17,58b1f_00038
-321.2673034667969,-55.940185546875,-408.8505522075452,0.0,-719.32421875,21.577421188354492,False,,,18,34145465d4b44abb94401752f829e201,2021-06-12_16-21-32,1623525692,0.17025256156921387,8.827109813690186,175897,LOGGI004112,192.168.15.44,8.827109813690186,0,18,58b1f_00038
-318.1081237792969,-55.940185546875,-405.16902923583984,0.0,-719.32421875,17.94972038269043,False,,,19,34145465d4b44abb94401752f829e201,2021-06-12_16-21-32,1623525692,0.1676185131072998,8.994728326797485,175897,LOGGI004112,192.168.15.44,8.994728326797485,0,19,58b1f_00038
-317.7440185546875,-55.940185546875,-395.50298854282926,0.0,-719.32421875,17.742755889892578,False,,,20,34145465d4b44abb94401752f829e201,2021-06-12_16-21-33,1623525693,0.1650981903076172,9.159826517105103,175897,LOGGI004112,192.168.15.44,9.159826517105103,0,20,58b1f_00038
-315.7904357910156,-55.940185546875,-390.68850777365947,0.0,-719.32421875,20.42922592163086,False,,,21,34145465d4b44abb94401752f829e201,2021-06-12_16-21-33,1623525693,0.17155218124389648,9.331378698348999,175897,LOGGI004112,192.168.15.44,9.331378698348999,0,21,58b1f_00038
-312.8066101074219,-55.940185546875,-392.08752109693444,0.0,-719.32421875,16.066194534301758,False,,,22,34145465d4b44abb94401752f829e201,2021-06-12_16-21-33,1623525693,0.24045658111572266,9.571835279464722,175897,LOGGI004112,192.168.15.44,9.571835279464722,0,22,58b1f_00038
-309.4966125488281,-55.940185546875,-391.7037550608317,0.0,-719.32421875,19.985275268554688,False,,,23,34145465d4b44abb94401752f829e201,2021-06-12_16-21-33,1623525693,0.1710188388824463,9.742854118347168,175897,LOGGI004112,192.168.15.44,9.742854118347168,0,23,58b1f_00038
-305.4654846191406,-55.940185546875,-394.33648498535155,0.0,-719.32421875,18.420753479003906,False,,,24,34145465d4b44abb94401752f829e201,2021-06-12_16-21-33,1623525693,0.1666557788848877,9.909509897232056,175897,LOGGI004112,192.168.15.44,9.909509897232056,0,24,58b1f_00038
-304.5400695800781,-55.940185546875,-388.2860682560847,0.0,-719.32421875,16.326663970947266,False,,,25,34145465d4b44abb94401752f829e201,2021-06-12_16-21-34,1623525694,0.16613125801086426,10.07564115524292,175897,LOGGI004112,192.168.15.44,10.07564115524292,0,25,58b1f_00038
-300.22210693359375,-55.940185546875,-391.24816555447046,0.0,-719.32421875,21.03317642211914,False,,,26,34145465d4b44abb94401752f829e201,2021-06-12_16-21-34,1623525694,0.16607236862182617,10.241713523864746,175897,LOGGI004112,192.168.15.44,10.241713523864746,0,26,58b1f_00038
-298.234130859375,-55.940185546875,-388.530640738351,0.0,-719.32421875,13.875468254089355,False,,,27,34145465d4b44abb94401752f829e201,2021-06-12_16-21-34,1623525694,0.1740882396697998,10.415801763534546,175897,LOGGI004112,192.168.15.44,10.415801763534546,0,27,58b1f_00038
-296.31475830078125,-55.940185546875,-384.0512326996902,0.0,-719.32421875,15.7398681640625,False,,,28,34145465d4b44abb94401752f829e201,2021-06-12_16-21-34,1623525694,0.16729187965393066,10.583093643188477,175897,LOGGI004112,192.168.15.44,10.583093643188477,0,28,58b1f_00038
-294.62274169921875,-55.940185546875,-380.4123087565104,0.0,-719.32421875,18.412044525146484,False,,,29,34145465d4b44abb94401752f829e201,2021-06-12_16-21-34,1623525694,0.16578936576843262,10.74888300895691,175897,LOGGI004112,192.168.15.44,10.74888300895691,0,29,58b1f_00038
-292.2887268066406,-55.940185546875,-379.2185806766633,0.0,-719.32421875,22.936542510986328,False,,,30,34145465d4b44abb94401752f829e201,2021-06-12_16-21-34,1623525694,0.16524600982666016,10.91412901878357,175897,LOGGI004112,192.168.15.44,10.91412901878357,0,30,58b1f_00038
