#Samples,Avg. cos sim with true grad,Avg. pairwise cos sim,Norm,Estimator,K,trial
181,0.940923810005188,0.8983025550842285,64.1124496459961,maac,2,Generator(PCG64)
186,0.8702108263969421,0.7878646850585938,24.021930694580078,dpg,2,Generator(PCG64)
186,0.9471015930175781,0.9082373976707458,66.89714813232422,maac,2,Generator(PCG64)
191,0.8547987937927246,0.7393513321876526,24.639978408813477,dpg,2,Generator(PCG64)
191,0.9506363868713379,0.9201920628547668,64.38755798339844,maac,2,Generator(PCG64)
196,0.860501766204834,0.7383167743682861,25.88065528869629,dpg,2,Generator(PCG64)
196,0.9555090665817261,0.9247204065322876,65.22146606445312,maac,2,Generator(PCG64)
201,0.880209743976593,0.7754642963409424,24.89963150024414,dpg,2,Generator(PCG64)
201,0.9514126777648926,0.9157015681266785,63.31367874145508,maac,2,Generator(PCG64)
206,0.8790825009346008,0.7975439429283142,23.97153091430664,dpg,2,Generator(PCG64)
206,0.9597997665405273,0.926698625087738,63.58489227294922,maac,2,Generator(PCG64)
211,0.8733304142951965,0.7877647280693054,22.8184871673584,dpg,2,Generator(PCG64)
211,0.9556449055671692,0.915645182132721,65.93055725097656,maac,2,Generator(PCG64)
216,0.8675386309623718,0.7754878401756287,25.828983306884766,dpg,2,Generator(PCG64)
216,0.9614944458007812,0.9326270222663879,68.5014419555664,maac,2,Generator(PCG64)
221,0.889228343963623,0.8081145286560059,23.39559555053711,dpg,2,Generator(PCG64)
221,0.9587780833244324,0.9322972893714905,65.55596160888672,maac,2,Generator(PCG64)
226,0.8771618604660034,0.8015797138214111,23.646636962890625,dpg,2,Generator(PCG64)
226,0.9641820788383484,0.9382448196411133,64.95645904541016,maac,2,Generator(PCG64)
231,0.8829998970031738,0.7980093955993652,24.890548706054688,dpg,2,Generator(PCG64)
231,0.9657447934150696,0.9413974285125732,64.95852661132812,maac,2,Generator(PCG64)
236,0.8992457389831543,0.826147198677063,24.1745662689209,dpg,2,Generator(PCG64)
236,0.9560815691947937,0.9243736267089844,65.4720458984375,maac,2,Generator(PCG64)
241,0.8919793963432312,0.805225133895874,24.558364868164062,dpg,2,Generator(PCG64)
241,0.9620026350021362,0.934513509273529,65.09599304199219,maac,2,Generator(PCG64)
246,0.8841060400009155,0.8134889602661133,24.056642532348633,dpg,2,Generator(PCG64)
246,0.9615597724914551,0.9347164630889893,65.93948364257812,maac,2,Generator(PCG64)
252,0.887935996055603,0.79451584815979,24.691314697265625,dpg,2,Generator(PCG64)
252,0.953286349773407,0.9152319431304932,69.47578430175781,maac,2,Generator(PCG64)
257,0.8976885676383972,0.8372454047203064,22.780397415161133,dpg,2,Generator(PCG64)
257,0.9574705362319946,0.9242977499961853,67.18313598632812,maac,2,Generator(PCG64)
262,0.8985146284103394,0.8293328285217285,25.126380920410156,dpg,2,Generator(PCG64)
262,0.9659649133682251,0.940476655960083,63.969207763671875,maac,2,Generator(PCG64)
267,0.8970848917961121,0.8165935277938843,23.999828338623047,dpg,2,Generator(PCG64)
267,0.9607731699943542,0.9307520389556885,70.11058044433594,maac,2,Generator(PCG64)
272,0.8968141674995422,0.8248921036720276,23.994327545166016,dpg,2,Generator(PCG64)
272,0.962812066078186,0.9411489963531494,66.76081848144531,maac,2,Generator(PCG64)
277,0.894099235534668,0.8183358907699585,22.180295944213867,dpg,2,Generator(PCG64)
277,0.9651902318000793,0.9366455674171448,69.44656372070312,maac,2,Generator(PCG64)
282,0.8895758390426636,0.8132521510124207,25.34379005432129,dpg,2,Generator(PCG64)
282,0.9653512835502625,0.9391192197799683,69.06956481933594,maac,2,Generator(PCG64)
287,0.8925655484199524,0.8186938762664795,23.175806045532227,dpg,2,Generator(PCG64)
287,0.9665372967720032,0.9501581788063049,70.87129211425781,maac,2,Generator(PCG64)
292,0.9026356935501099,0.8516349196434021,24.290348052978516,dpg,2,Generator(PCG64)
292,0.964453399181366,0.9480016231536865,64.49385070800781,maac,2,Generator(PCG64)
297,0.8976499438285828,0.8398599624633789,22.585948944091797,dpg,2,Generator(PCG64)
297,0.9684435725212097,0.9474149346351624,67.66400146484375,maac,2,Generator(PCG64)
302,0.9049344062805176,0.8399782776832581,23.828359603881836,dpg,2,Generator(PCG64)
302,0.9690431356430054,0.948401153087616,65.2631607055664,maac,2,Generator(PCG64)
307,0.9021636843681335,0.829170823097229,23.079944610595703,dpg,2,Generator(PCG64)
