true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,grad_norm,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-1765.1258544921875,-76.69298553466797,-512.1912841796875,0.0,-1024.382568359375,21.589460372924805,False,,,1,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-02,1623528602,6.394920825958252,6.394920825958252,184151,LOGGI004112,192.168.15.44,6.394920825958252,0,1,58b1f_00108
-1761.511474609375,-76.69298553466797,-834.0016682942709,0.0,-1477.6224365234375,21.891965866088867,False,,,2,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-02,1623528602,0.14470839500427246,6.539629220962524,184151,LOGGI004112,192.168.15.44,6.539629220962524,0,2,58b1f_00108
-1742.8577880859375,-76.69298553466797,-1048.9520874023438,0.0,-1693.8033447265625,30.51848030090332,False,,,3,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-02,1623528602,0.20775127410888672,6.747380495071411,184151,LOGGI004112,192.168.15.44,6.747380495071411,0,3,58b1f_00108
-1738.266357421875,-76.69298553466797,-1186.1292236328125,0.0,-1734.8377685546875,21.279382705688477,False,,,4,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-03,1623528603,0.22952580451965332,6.9769062995910645,184151,LOGGI004112,192.168.15.44,6.9769062995910645,0,4,58b1f_00108
-1729.4937744140625,-76.69298553466797,-1179.1550903320312,0.0,-1734.8377685546875,27.13762855529785,False,,,5,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-03,1623528603,0.17034220695495605,7.1472485065460205,184151,LOGGI004112,192.168.15.44,7.1472485065460205,0,5,58b1f_00108
-1708.62646484375,-76.69298553466797,-1393.6508265904017,0.0,-2680.625244140625,38.47694396972656,False,,,6,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-03,1623528603,0.18729877471923828,7.334547281265259,184151,LOGGI004112,192.168.15.44,7.334547281265259,0,6,58b1f_00108
-1701.273681640625,-76.69298553466797,-1374.9038696289062,0.0,-2680.625244140625,20.679325103759766,False,,,7,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-03,1623528603,0.18110275268554688,7.515650033950806,184151,LOGGI004112,192.168.15.44,7.515650033950806,0,7,58b1f_00108
-1697.867919921875,-76.69298553466797,-1385.2984212239583,0.0,-2680.625244140625,17.75756072998047,False,,,8,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-03,1623528603,0.16731739044189453,7.6829674243927,184151,LOGGI004112,192.168.15.44,7.6829674243927,0,8,58b1f_00108
-1680.5274658203125,-76.69298553466797,-1449.19931640625,0.0,-2680.625244140625,26.2799129486084,False,,,9,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-04,1623528604,0.17119121551513672,7.854158639907837,184151,LOGGI004112,192.168.15.44,7.854158639907837,0,9,58b1f_00108
-1669.3995361328125,-76.69298553466797,-1423.591463955966,0.0,-2680.625244140625,27.165973663330078,False,,,10,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-04,1623528604,0.1659069061279297,8.020065546035767,184151,LOGGI004112,192.168.15.44,8.020065546035767,0,10,58b1f_00108
-1649.2298583984375,-76.69298553466797,-1492.8396809895833,0.0,-2680.625244140625,29.982940673828125,False,,,11,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-04,1623528604,0.1667015552520752,8.186767101287842,184151,LOGGI004112,192.168.15.44,8.186767101287842,0,11,58b1f_00108
-1636.499755859375,-76.69298553466797,-1514.370596078726,0.0,-2680.625244140625,24.353368759155273,False,,,12,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-04,1623528604,0.16757440567016602,8.354341506958008,184151,LOGGI004112,192.168.15.44,8.354341506958008,0,12,58b1f_00108
-1626.656494140625,-76.69298553466797,-1545.4075404575892,0.0,-2680.625244140625,27.74240493774414,False,,,13,d11a50ee358a425fb55754243cc96ae5,2021-06-12_17-10-04,1623528604,0.16642117500305176,8.52076268196106,184151,LOGGI004112,192.168.15.44,8.52076268196106,0,13,58b1f_00108
