true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,grad_norm,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-28010.4296875,-213.60247802734375,-6089.9580078125,0.0,-12179.916015625,6790.998046875,False,,,1,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-17,1623529577,7.76443886756897,7.76443886756897,187393,LOGGI004112,192.168.15.44,7.76443886756897,0,1,58b1f_00133
-27483.369140625,-213.60247802734375,-12512.757161458334,0.0,-25358.35546875,3135.330078125,False,,,2,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-17,1623529577,0.20377612113952637,7.968214988708496,187393,LOGGI004112,192.168.15.44,7.968214988708496,0,2,58b1f_00133
-27787.060546875,-213.60247802734375,-13444.43359375,0.0,-25358.35546875,3263.7900390625,False,,,3,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-17,1623529577,0.2252483367919922,8.193463325500488,187393,LOGGI004112,192.168.15.44,8.193463325500488,0,3,58b1f_00133
-26707.990234375,-213.60247802734375,-15052.95390625,0.0,-25358.35546875,3555.279541015625,False,,,4,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-17,1623529577,0.22525691986083984,8.418720245361328,187393,LOGGI004112,192.168.15.44,8.418720245361328,0,4,58b1f_00133
-24531.8046875,-213.60247802734375,-16857.346354166668,0.0,-25879.30859375,3591.764404296875,False,,,5,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-17,1623529577,0.21837329864501953,8.637093544006348,187393,LOGGI004112,192.168.15.44,8.637093544006348,0,5,58b1f_00133
-25000.87109375,-213.60247802734375,-17471.592633928572,0.0,-25879.30859375,2928.04736328125,False,,,6,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-18,1623529578,0.21519875526428223,8.85229229927063,187393,LOGGI004112,192.168.15.44,8.85229229927063,0,6,58b1f_00133
-22996.73046875,-213.60247802734375,-17083.24267578125,0.0,-25879.30859375,3575.115966796875,False,,,7,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-18,1623529578,0.2168750762939453,9.069167375564575,187393,LOGGI004112,192.168.15.44,9.069167375564575,0,7,58b1f_00133
-22026.830078125,-213.60247802734375,-17683.55642361111,0.0,-25879.30859375,3158.941650390625,False,,,8,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-18,1623529578,0.20798659324645996,9.277153968811035,187393,LOGGI004112,192.168.15.44,9.277153968811035,0,8,58b1f_00133
-21482.26953125,-213.60247802734375,-17665.95234375,0.0,-25879.30859375,2610.276611328125,False,,,9,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-18,1623529578,0.21296954154968262,9.490123510360718,187393,LOGGI004112,192.168.15.44,9.490123510360718,0,9,58b1f_00133
-20404.11328125,-213.60247802734375,-18203.458629261364,0.0,-25879.30859375,2017.1041259765625,False,,,10,5e25b5c7c09449dc8c260b4c039e2e89,2021-06-12_17-26-19,1623529579,0.2092890739440918,9.69941258430481,187393,LOGGI004112,192.168.15.44,9.69941258430481,0,10,58b1f_00133
