true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-269.6720275878906,73.0070571899414,-336.01098077947444,0.0,-883.614501953125,False,,,1,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-21,1623072321,7.247021198272705,7.247021198272705,22980,LOGGI004112,192.168.15.44,7.247021198272705,0,1,67d8a_00120
-267.8255920410156,73.0070571899414,-311.2202802385603,0.0,-883.614501953125,False,,,2,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-21,1623072321,0.46160268783569336,7.708623886108398,22980,LOGGI004112,192.168.15.44,7.708623886108398,0,2,67d8a_00120
-266.34881591796875,73.0070571899414,-256.0569934229697,0.0,-883.614501953125,False,,,3,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-22,1623072322,0.22588896751403809,7.9345128536224365,22980,LOGGI004112,192.168.15.44,7.9345128536224365,0,3,67d8a_00120
-264.7142333984375,73.0070571899414,-263.5630302429199,0.0,-883.614501953125,False,,,4,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-22,1623072322,0.23513126373291016,8.169644117355347,22980,LOGGI004112,192.168.15.44,8.169644117355347,0,4,67d8a_00120
-262.99951171875,73.0070571899414,-267.41483314364564,0.0,-883.614501953125,False,,,5,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-22,1623072322,0.2557947635650635,8.42543888092041,22980,LOGGI004112,192.168.15.44,8.42543888092041,0,5,67d8a_00120
-261.3284606933594,73.0070571899414,-274.20579522554993,0.0,-883.614501953125,False,,,6,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-22,1623072322,0.23994946479797363,8.665388345718384,22980,LOGGI004112,192.168.15.44,8.665388345718384,0,6,67d8a_00120
-259.8161926269531,73.0070571899414,-272.609830345906,0.0,-883.614501953125,False,,,7,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-23,1623072323,0.2316904067993164,8.8970787525177,22980,LOGGI004112,192.168.15.44,8.8970787525177,0,7,67d8a_00120
-258.15631103515625,73.0070571899414,-270.8231511528109,0.0,-883.614501953125,False,,,8,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-23,1623072323,0.2279200553894043,9.124998807907104,22980,LOGGI004112,192.168.15.44,9.124998807907104,0,8,67d8a_00120
-256.62567138671875,73.0070571899414,-271.7406962887271,0.0,-883.614501953125,False,,,9,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-23,1623072323,0.2124485969543457,9.33744740486145,22980,LOGGI004112,192.168.15.44,9.33744740486145,0,9,67d8a_00120
-255.1341552734375,73.0070571899414,-269.3636610031128,-63.856693267822266,-883.614501953125,False,,,10,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-23,1623072323,0.24460816383361816,9.582055568695068,22980,LOGGI004112,192.168.15.44,9.582055568695068,0,10,67d8a_00120
-253.54452514648438,73.0070571899414,-255.8657301712036,-63.856693267822266,-677.4630737304688,False,,,11,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-23,1623072323,0.23953461647033691,9.821590185165405,22980,LOGGI004112,192.168.15.44,9.821590185165405,0,11,67d8a_00120
-252.05914306640625,73.0070571899414,-250.35999118804932,-63.856693267822266,-677.4630737304688,False,,,12,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-24,1623072324,0.2434840202331543,10.06507420539856,22980,LOGGI004112,192.168.15.44,10.06507420539856,0,12,67d8a_00120
-250.59210205078125,73.0070571899414,-260.5984531402588,-67.9998779296875,-677.4630737304688,False,,,13,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-24,1623072324,0.23081755638122559,10.295891761779785,22980,LOGGI004112,192.168.15.44,10.295891761779785,0,13,67d8a_00120
-249.21347045898438,73.0070571899414,-253.60118385314942,-67.9998779296875,-677.4630737304688,False,,,14,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-24,1623072324,0.2242121696472168,10.520103931427002,22980,LOGGI004112,192.168.15.44,10.520103931427002,0,14,67d8a_00120
-247.7125701904297,73.0070571899414,-257.66671432495116,-67.9998779296875,-793.3836059570312,False,,,15,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-24,1623072324,0.2264392375946045,10.746543169021606,22980,LOGGI004112,192.168.15.44,10.746543169021606,0,15,67d8a_00120
-246.41305541992188,73.0070571899414,-253.11111206054687,-67.9998779296875,-793.3836059570312,False,,,16,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-25,1623072325,0.25170350074768066,10.998246669769287,22980,LOGGI004112,192.168.15.44,10.998246669769287,0,16,67d8a_00120
-245.04940795898438,73.0070571899414,-252.12681991577148,-67.9998779296875,-793.3836059570312,False,,,17,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-25,1623072325,0.22652339935302734,11.224770069122314,22980,LOGGI004112,192.168.15.44,11.224770069122314,0,17,67d8a_00120
-243.7169647216797,73.0070571899414,-245.78567764282226,-67.9998779296875,-793.3836059570312,False,,,18,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-25,1623072325,0.2270040512084961,11.45177412033081,22980,LOGGI004112,192.168.15.44,11.45177412033081,0,18,67d8a_00120
-242.35203552246094,73.0070571899414,-238.53805953979492,-67.9998779296875,-793.3836059570312,False,,,19,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-25,1623072325,0.28061652183532715,11.732390642166138,22980,LOGGI004112,192.168.15.44,11.732390642166138,0,19,67d8a_00120
-240.98709106445312,73.0070571899414,-245.1025617980957,-67.9998779296875,-793.3836059570312,False,,,20,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-26,1623072326,0.28237342834472656,12.014764070510864,22980,LOGGI004112,192.168.15.44,12.014764070510864,0,20,67d8a_00120
-239.8018035888672,73.0070571899414,-245.23369148254395,-87.76040649414062,-793.3836059570312,False,,,21,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-26,1623072326,0.2724313735961914,12.287195444107056,22980,LOGGI004112,192.168.15.44,12.287195444107056,0,21,67d8a_00120
-238.56353759765625,73.0070571899414,-249.83118133544923,-87.76040649414062,-793.3836059570312,False,,,22,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-26,1623072326,0.21909737586975098,12.506292819976807,22980,LOGGI004112,192.168.15.44,12.506292819976807,0,22,67d8a_00120
-237.20509338378906,73.0070571899414,-250.21347564697265,-87.76040649414062,-793.3836059570312,False,,,23,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-26,1623072326,0.17229652404785156,12.678589344024658,22980,LOGGI004112,192.168.15.44,12.678589344024658,0,23,67d8a_00120
-235.87989807128906,73.0070571899414,-255.39667594909668,-87.76040649414062,-793.3836059570312,False,,,24,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-27,1623072327,0.17421197891235352,12.852801322937012,22980,LOGGI004112,192.168.15.44,12.852801322937012,0,24,67d8a_00120
-234.53082275390625,73.0070571899414,-251.53155548095702,-87.76040649414062,-729.9622802734375,False,,,25,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-27,1623072327,0.18085050582885742,13.03365182876587,22980,LOGGI004112,192.168.15.44,13.03365182876587,0,25,67d8a_00120
-233.2058563232422,73.0070571899414,-251.1975860595703,-88.17696380615234,-826.2615966796875,False,,,26,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-27,1623072327,0.23401927947998047,13.26767110824585,22980,LOGGI004112,192.168.15.44,13.26767110824585,0,26,67d8a_00120
-232.13270568847656,73.0070571899414,-251.6191355895996,-88.17696380615234,-826.2615966796875,False,,,27,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-27,1623072327,0.22409987449645996,13.49177098274231,22980,LOGGI004112,192.168.15.44,13.49177098274231,0,27,67d8a_00120
-230.95425415039062,73.0070571899414,-257.31896339416505,-88.17696380615234,-826.2615966796875,False,,,28,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-28,1623072328,0.22731709480285645,13.719088077545166,22980,LOGGI004112,192.168.15.44,13.719088077545166,0,28,67d8a_00120
-229.75204467773438,73.0070571899414,-260.00405052185056,-67.7490234375,-826.2615966796875,False,,,29,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-28,1623072328,0.21907973289489746,13.938167810440063,22980,LOGGI004112,192.168.15.44,13.938167810440063,0,29,67d8a_00120
-228.61614990234375,73.0070571899414,-251.45159439086913,-67.7490234375,-826.2615966796875,False,,,30,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-28,1623072328,0.24153566360473633,14.1797034740448,22980,LOGGI004112,192.168.15.44,14.1797034740448,0,30,67d8a_00120
-227.45204162597656,73.0070571899414,-252.03855018615724,-67.7490234375,-826.2615966796875,False,,,31,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-28,1623072328,0.20585370063781738,14.385557174682617,22980,LOGGI004112,192.168.15.44,14.385557174682617,0,31,67d8a_00120
-226.29554748535156,73.0070571899414,-248.77027626037597,-67.7490234375,-826.2615966796875,False,,,32,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-28,1623072328,0.2271101474761963,14.612667322158813,22980,LOGGI004112,192.168.15.44,14.612667322158813,0,32,67d8a_00120
-225.15902709960938,73.0070571899414,-244.43503547668456,-67.7490234375,-826.2615966796875,False,,,33,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-29,1623072329,0.3034327030181885,14.916100025177002,22980,LOGGI004112,192.168.15.44,14.916100025177002,0,33,67d8a_00120
-223.9927215576172,73.0070571899414,-238.48815322875976,-67.7490234375,-826.2615966796875,False,,,34,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-29,1623072329,0.24504852294921875,15.16114854812622,22980,LOGGI004112,192.168.15.44,15.16114854812622,0,34,67d8a_00120
-222.9278564453125,73.0070571899414,-230.48852027893065,-67.7490234375,-826.2615966796875,False,,,35,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-29,1623072329,0.23018360137939453,15.391332149505615,22980,LOGGI004112,192.168.15.44,15.391332149505615,0,35,67d8a_00120
-221.9363250732422,73.0070571899414,-225.87797584533692,-67.7490234375,-496.680419921875,False,,,36,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-30,1623072330,0.23321318626403809,15.624545335769653,22980,LOGGI004112,192.168.15.44,15.624545335769653,0,36,67d8a_00120
-220.87986755371094,73.0070571899414,-222.44520988464356,-67.7490234375,-708.0338134765625,False,,,37,b022b3319c134772a075a25dd8dd8b46,2021-06-07_10-25-30,1623072330,0.23485898971557617,15.85940432548523,22980,LOGGI004112,192.168.15.44,15.85940432548523,0,37,67d8a_00120
