true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,grad_norm,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-2286.165283203125,-101.45944213867188,-885.3460693359375,0.0,-1770.692138671875,129.78428649902344,False,,,1,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-27,1623528927,6.673625230789185,6.673625230789185,185046,LOGGI004112,192.168.15.44,6.673625230789185,0,1,58b1f_00114
-2211.72607421875,-101.45944213867188,-1577.2526041666667,0.0,-2961.065673828125,155.46592712402344,False,,,2,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-27,1623528927,0.15821623802185059,6.831841468811035,185046,LOGGI004112,192.168.15.44,6.831841468811035,0,2,58b1f_00114
-2176.34814453125,-101.45944213867188,-1744.8461303710938,0.0,-2961.065673828125,129.2580108642578,False,,,3,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-27,1623528927,0.15188336372375488,6.98372483253479,185046,LOGGI004112,192.168.15.44,6.98372483253479,0,3,58b1f_00114
-2141.571533203125,-101.45944213867188,-1733.865380859375,0.0,-2961.065673828125,137.5948486328125,False,,,4,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-27,1623528927,0.1181647777557373,7.101889610290527,185046,LOGGI004112,192.168.15.44,7.101889610290527,0,4,58b1f_00114
-2118.622802734375,-101.45944213867188,-1840.2486979166667,0.0,-2961.065673828125,150.68858337402344,False,,,5,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-27,1623528927,0.13191437721252441,7.233803987503052,185046,LOGGI004112,192.168.15.44,7.233803987503052,0,5,58b1f_00114
-2122.8974609375,-101.45944213867188,-1837.4637799944196,0.0,-2961.065673828125,115.22339630126953,False,,,6,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-27,1623528927,0.1320788860321045,7.365882873535156,185046,LOGGI004112,192.168.15.44,7.365882873535156,0,6,58b1f_00114
-2142.837158203125,-101.45944213867188,-2035.375503540039,0.0,-3420.757568359375,175.2519989013672,False,,,7,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-28,1623528928,0.13948678970336914,7.505369663238525,185046,LOGGI004112,192.168.15.44,7.505369663238525,0,7,58b1f_00114
-2079.552001953125,-101.45944213867188,-2109.6416693793403,0.0,-3420.757568359375,153.551513671875,False,,,8,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-28,1623528928,0.16446876525878906,7.6698384284973145,185046,LOGGI004112,192.168.15.44,7.6698384284973145,0,8,58b1f_00114
-2074.538330078125,-101.45944213867188,-2053.512451171875,0.0,-3420.757568359375,105.49304962158203,False,,,9,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-28,1623528928,0.1667623519897461,7.8366007804870605,185046,LOGGI004112,192.168.15.44,7.8366007804870605,0,9,58b1f_00114
-2064.518310546875,-101.45944213867188,-2051.9316739169035,0.0,-3420.757568359375,146.83079528808594,False,,,10,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-28,1623528928,0.18968749046325684,8.026288270950317,185046,LOGGI004112,192.168.15.44,8.026288270950317,0,10,58b1f_00114
-2078.470947265625,-101.45944213867188,-2000.5201924641926,0.0,-3420.757568359375,120.44638061523438,False,,,11,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-28,1623528928,0.1713087558746338,8.197597026824951,185046,LOGGI004112,192.168.15.44,8.197597026824951,0,11,58b1f_00114
-2074.819091796875,-101.45944213867188,-2012.266141451322,0.0,-3420.757568359375,116.50243377685547,False,,,12,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-28,1623528928,0.16878962516784668,8.366386651992798,185046,LOGGI004112,192.168.15.44,8.366386651992798,0,12,58b1f_00114
-2045.7137451171875,-101.45944213867188,-2007.0840018136162,0.0,-3420.757568359375,96.09929656982422,False,,,13,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-29,1623528929,0.17188715934753418,8.538273811340332,185046,LOGGI004112,192.168.15.44,8.538273811340332,0,13,58b1f_00114
-2018.9268798828125,-101.45944213867188,-2027.2003092447917,0.0,-3420.757568359375,121.09274291992188,False,,,14,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-29,1623528929,0.17351889610290527,8.711792707443237,185046,LOGGI004112,192.168.15.44,8.711792707443237,0,14,58b1f_00114
-1985.1485595703125,-101.45944213867188,-2041.0069427490234,0.0,-3420.757568359375,118.7331314086914,False,,,15,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-29,1623528929,0.15957212448120117,8.871364831924438,185046,LOGGI004112,192.168.15.44,8.871364831924438,0,15,58b1f_00114
-1968.3309326171875,-101.45944213867188,-1999.8611127068016,0.0,-3420.757568359375,107.45205688476562,False,,,16,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-29,1623528929,0.16626811027526855,9.037632942199707,185046,LOGGI004112,192.168.15.44,9.037632942199707,0,16,58b1f_00114
-1956.972900390625,-101.45944213867188,-1948.3238932291667,0.0,-3420.757568359375,91.60607147216797,False,,,17,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-29,1623528929,0.16692376136779785,9.204556703567505,185046,LOGGI004112,192.168.15.44,9.204556703567505,0,17,58b1f_00114
-1920.043701171875,-101.45944213867188,-2031.7238384046052,0.0,-3532.9228515625,95.0085220336914,False,,,18,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-29,1623528929,0.16484832763671875,9.369405031204224,185046,LOGGI004112,192.168.15.44,9.369405031204224,0,18,58b1f_00114
-1878.489013671875,-101.45944213867188,-2024.3018981933594,0.0,-3532.9228515625,105.83380889892578,False,,,19,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-30,1623528930,0.17420601844787598,9.5436110496521,185046,LOGGI004112,192.168.15.44,9.5436110496521,0,19,58b1f_00114
-1874.587646484375,-101.45944213867188,-2027.8654610770088,0.0,-3532.9228515625,114.1863784790039,False,,,20,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-30,1623528930,0.17456579208374023,9.71817684173584,185046,LOGGI004112,192.168.15.44,9.71817684173584,0,20,58b1f_00114
-1855.71240234375,-101.45944213867188,-2012.8658280806108,0.0,-3532.9228515625,80.48603820800781,False,,,21,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-30,1623528930,0.1730818748474121,9.891258716583252,185046,LOGGI004112,192.168.15.44,9.891258716583252,0,21,58b1f_00114
-1838.86474609375,-101.45944213867188,-2006.362787661345,0.0,-3532.9228515625,88.59077453613281,False,,,22,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-30,1623528930,0.20803546905517578,10.099294185638428,185046,LOGGI004112,192.168.15.44,10.099294185638428,0,22,58b1f_00114
-1852.16943359375,-101.45944213867188,-1979.306432088216,0.0,-3532.9228515625,95.27420043945312,False,,,23,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-30,1623528930,0.21161103248596191,10.31090521812439,185046,LOGGI004112,192.168.15.44,10.31090521812439,0,23,58b1f_00114
-1840.122802734375,-101.45944213867188,-1959.8718310546874,0.0,-3532.9228515625,116.0413818359375,False,,,24,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-31,1623528931,0.22385501861572266,10.534760236740112,185046,LOGGI004112,192.168.15.44,10.534760236740112,0,24,58b1f_00114
-1803.5074462890625,-101.45944213867188,-1939.8806762695312,0.0,-3532.9228515625,111.62211608886719,False,,,25,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-31,1623528931,0.20334815979003906,10.738108396530151,185046,LOGGI004112,192.168.15.44,10.738108396530151,0,25,58b1f_00114
-1823.8798828125,-101.45944213867188,-1931.195859555845,0.0,-3532.9228515625,107.45879364013672,False,,,26,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-31,1623528931,0.19816350936889648,10.936271905899048,185046,LOGGI004112,192.168.15.44,10.936271905899048,0,26,58b1f_00114
-1808.3896484375,-101.45944213867188,-1926.5519801548548,0.0,-3532.9228515625,103.96600341796875,False,,,27,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-31,1623528931,0.1784665584564209,11.114738464355469,185046,LOGGI004112,192.168.15.44,11.114738464355469,0,27,58b1f_00114
-1788.85986328125,-101.45944213867188,-1921.2904389480066,0.0,-3532.9228515625,117.3331298828125,False,,,28,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-31,1623528931,0.167205810546875,11.281944274902344,185046,LOGGI004112,192.168.15.44,11.281944274902344,0,28,58b1f_00114
-1772.3663330078125,-101.45944213867188,-1903.3416137695312,0.0,-3532.9228515625,70.9154281616211,False,,,29,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-32,1623528932,0.1654038429260254,11.44734811782837,185046,LOGGI004112,192.168.15.44,11.44734811782837,0,29,58b1f_00114
-1751.6204833984375,-101.45944213867188,-1887.2913936491937,0.0,-3532.9228515625,89.90141296386719,False,,,30,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-32,1623528932,0.1728060245513916,11.62015414237976,185046,LOGGI004112,192.168.15.44,11.62015414237976,0,30,58b1f_00114
-1697.16552734375,-101.45944213867188,-1884.3436813354492,0.0,-3532.9228515625,144.2574462890625,False,,,31,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-32,1623528932,0.16531753540039062,11.785471677780151,185046,LOGGI004112,192.168.15.44,11.785471677780151,0,31,58b1f_00114
-1662.2322998046875,-101.45944213867188,-1885.4785045276988,0.0,-3532.9228515625,118.66181182861328,False,,,32,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-32,1623528932,0.16969919204711914,11.95517086982727,185046,LOGGI004112,192.168.15.44,11.95517086982727,0,32,58b1f_00114
-1633.6925048828125,-101.45944213867188,-1874.2001091452205,0.0,-3532.9228515625,69.35769653320312,False,,,33,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-32,1623528932,0.17372775077819824,12.128898620605469,185046,LOGGI004112,192.168.15.44,12.128898620605469,0,33,58b1f_00114
-1591.538330078125,-101.45944213867188,-1890.092320033482,0.0,-3532.9228515625,97.62557220458984,False,,,34,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-33,1623528933,0.19287991523742676,12.321778535842896,185046,LOGGI004112,192.168.15.44,12.321778535842896,0,34,58b1f_00114
-1562.4814453125,-101.45944213867188,-1871.8197055392795,0.0,-3532.9228515625,84.37666320800781,False,,,35,22e5dccf510d484d99e1bd1180366d19,2021-06-12_17-15-33,1623528933,0.16567659378051758,12.487455129623413,185046,LOGGI004112,192.168.15.44,12.487455129623413,0,35,58b1f_00114
