true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-181.6906280517578,66.66514587402344,-169.35394564541903,0.0,-279.6815185546875,False,,,1,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-55,1623069955,6.201446294784546,6.201446294784546,12791,LOGGI004112,192.168.15.44,6.201446294784546,0,1,67d8a_00045
-181.29766845703125,66.66514587402344,-170.58448718843005,0.0,-322.42767333984375,False,,,2,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-55,1623069955,0.21677494049072266,6.4182212352752686,12791,LOGGI004112,192.168.15.44,6.4182212352752686,0,2,67d8a_00045
-180.91256713867188,66.66514587402344,-182.45762338945943,0.0,-432.7325439453125,False,,,3,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-55,1623069955,0.1882152557373047,6.606436491012573,12791,LOGGI004112,192.168.15.44,6.606436491012573,0,3,67d8a_00045
-180.51170349121094,66.66514587402344,-182.1603324704054,0.0,-432.7325439453125,False,,,4,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-55,1623069955,0.21926617622375488,6.825702667236328,12791,LOGGI004112,192.168.15.44,6.825702667236328,0,4,67d8a_00045
-180.11135864257812,66.66514587402344,-188.902213900697,0.0,-432.7325439453125,False,,,5,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-55,1623069955,0.21695423126220703,7.042656898498535,12791,LOGGI004112,192.168.15.44,7.042656898498535,0,5,67d8a_00045
-179.725341796875,66.66514587402344,-186.23215297011077,0.0,-432.7325439453125,False,,,6,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-56,1623069956,0.18552398681640625,7.228180885314941,12791,LOGGI004112,192.168.15.44,7.228180885314941,0,6,67d8a_00045
-179.3435516357422,66.66514587402344,-185.34380523251815,0.0,-432.7325439453125,False,,,7,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-56,1623069956,0.17609286308288574,7.404273748397827,12791,LOGGI004112,192.168.15.44,7.404273748397827,0,7,67d8a_00045
-178.95785522460938,66.66514587402344,-187.20133143295476,0.0,-432.7325439453125,False,,,8,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-56,1623069956,0.1613907814025879,7.565664529800415,12791,LOGGI004112,192.168.15.44,7.565664529800415,0,8,67d8a_00045
-178.57827758789062,66.66514587402344,-186.02483510447072,0.0,-432.7325439453125,False,,,9,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-56,1623069956,0.16382503509521484,7.72948956489563,12791,LOGGI004112,192.168.15.44,7.72948956489563,0,9,67d8a_00045
-178.20950317382812,66.66514587402344,-185.41075912475586,-79.59076690673828,-432.7325439453125,False,,,10,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-56,1623069956,0.16411471366882324,7.893604278564453,12791,LOGGI004112,192.168.15.44,7.893604278564453,0,10,67d8a_00045
-177.79913330078125,66.66514587402344,-186.8077996826172,-79.59076690673828,-432.7325439453125,False,,,11,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-57,1623069957,0.25512075424194336,8.148725032806396,12791,LOGGI004112,192.168.15.44,8.148725032806396,0,11,67d8a_00045
-177.40435791015625,66.66514587402344,-186.1563819885254,-79.59076690673828,-432.7325439453125,False,,,12,9fac5c2c57c048fa94b59bcdca501c46,2021-06-07_09-45-57,1623069957,0.2236955165863037,8.3724205493927,12791,LOGGI004112,192.168.15.44,8.3724205493927,0,12,67d8a_00045
