true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-208.05235290527344,66.66514587402344,-648.1525698575107,0.0,-1501.542236328125,False,,,1,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-12,1623078552,7.608652353286743,7.608652353286743,47523,LOGGI004112,192.168.15.44,7.608652353286743,0,1,67d8a_00315
-193.89854431152344,66.66514587402344,-445.96129135858445,0.0,-1501.542236328125,False,,,2,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-12,1623078552,0.23096084594726562,7.839613199234009,47523,LOGGI004112,192.168.15.44,7.839613199234009,0,2,67d8a_00315
-181.75831604003906,66.66514587402344,-374.0316701089182,0.0,-1501.542236328125,False,,,3,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-13,1623078553,0.20007014274597168,8.03968334197998,47523,LOGGI004112,192.168.15.44,8.03968334197998,0,3,67d8a_00315
-174.1854248046875,66.66514587402344,-321.7106168793469,0.0,-1501.542236328125,False,,,4,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-13,1623078553,0.1772005558013916,8.216883897781372,47523,LOGGI004112,192.168.15.44,8.216883897781372,0,4,67d8a_00315
-165.80445861816406,66.66514587402344,-298.94384541231045,0.0,-1501.542236328125,False,,,5,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-13,1623078553,0.20592498779296875,8.42280888557434,47523,LOGGI004112,192.168.15.44,8.42280888557434,0,5,67d8a_00315
-158.26107788085938,66.66514587402344,-284.0884968491851,0.0,-1501.542236328125,False,,,6,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-13,1623078553,0.1629657745361328,8.585774660110474,47523,LOGGI004112,192.168.15.44,8.585774660110474,0,6,67d8a_00315
-154.19241333007812,66.66514587402344,-262.90235428071355,0.0,-1501.542236328125,False,,,7,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-13,1623078553,0.14678692817687988,8.732561588287354,47523,LOGGI004112,192.168.15.44,8.732561588287354,0,7,67d8a_00315
-148.92567443847656,66.66514587402344,-257.0276314064308,0.0,-1501.542236328125,False,,,8,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-13,1623078553,0.18736958503723145,8.919931173324585,47523,LOGGI004112,192.168.15.44,8.919931173324585,0,8,67d8a_00315
-145.85031127929688,66.66514587402344,-242.99398074307285,0.0,-1501.542236328125,False,,,9,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-14,1623078554,0.14507007598876953,9.065001249313354,47523,LOGGI004112,192.168.15.44,9.065001249313354,0,9,67d8a_00315
-142.67344665527344,66.66514587402344,-235.95997512817382,-78.89419555664062,-1501.542236328125,False,,,10,81d3494b092d4f30b4bc809d6d899915,2021-06-07_12-09-14,1623078554,0.20396780967712402,9.268969058990479,47523,LOGGI004112,192.168.15.44,9.268969058990479,0,10,67d8a_00315
