true_value,optimal_value,episode_reward_mean,episode_reward_max,episode_reward_min,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-533.1087036132812,66.27590942382812,-438.53863525390625,0.0,-1194.9443359375,False,,,1,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-15,1623075375,6.947481870651245,6.947481870651245,35161,LOGGI004112,192.168.15.44,6.947481870651245,0,1,67d8a_00214
-529.0253295898438,66.27590942382812,-484.7723156156994,0.0,-1194.9443359375,False,,,2,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-15,1623075375,0.1821901798248291,7.129672050476074,35161,LOGGI004112,192.168.15.44,7.129672050476074,0,2,67d8a_00214
-525.1275024414062,66.27590942382812,-485.2324386104461,0.0,-1206.702392578125,False,,,3,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-15,1623075375,0.1854712963104248,7.315143346786499,35161,LOGGI004112,192.168.15.44,7.315143346786499,0,3,67d8a_00214
-521.186279296875,66.27590942382812,-452.896223114758,0.0,-1206.702392578125,False,,,4,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-15,1623075375,0.16735386848449707,7.482497215270996,35161,LOGGI004112,192.168.15.44,7.482497215270996,0,4,67d8a_00214
-517.3770141601562,66.27590942382812,-462.07849510043275,0.0,-1206.702392578125,False,,,5,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-15,1623075375,0.16881585121154785,7.651313066482544,35161,LOGGI004112,192.168.15.44,7.651313066482544,0,5,67d8a_00214
-513.6988525390625,66.27590942382812,-480.4110330050109,0.0,-1206.702392578125,False,,,6,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-16,1623075376,0.17793631553649902,7.829249382019043,35161,LOGGI004112,192.168.15.44,7.829249382019043,0,6,67d8a_00214
-510.0806884765625,66.27590942382812,-490.6504553136691,0.0,-1206.702392578125,False,,,7,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-16,1623075376,0.17727994918823242,8.006529331207275,35161,LOGGI004112,192.168.15.44,8.006529331207275,0,7,67d8a_00214
-506.5103454589844,66.27590942382812,-495.00739297749084,0.0,-1206.702392578125,False,,,8,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-16,1623075376,0.18250203132629395,8.18903136253357,35161,LOGGI004112,192.168.15.44,8.18903136253357,0,8,67d8a_00214
-503.20526123046875,66.27590942382812,-499.5757845365084,0.0,-1206.702392578125,False,,,9,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-16,1623075376,0.16753435134887695,8.356565713882446,35161,LOGGI004112,192.168.15.44,8.356565713882446,0,9,67d8a_00214
-499.80877685546875,66.27590942382812,-497.8697241210937,-205.823974609375,-1206.702392578125,False,,,10,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-16,1623075376,0.1362154483795166,8.492781162261963,35161,LOGGI004112,192.168.15.44,8.492781162261963,0,10,67d8a_00214
-496.3888244628906,66.27590942382812,-499.47608154296876,-205.823974609375,-1206.702392578125,False,,,11,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-16,1623075376,0.1349809169769287,8.627762079238892,35161,LOGGI004112,192.168.15.44,8.627762079238892,0,11,67d8a_00214
-493.045166015625,66.27590942382812,-490.5265351867676,-162.35618591308594,-1206.702392578125,False,,,12,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-17,1623075377,0.18547916412353516,8.813241243362427,35161,LOGGI004112,192.168.15.44,8.813241243362427,0,12,67d8a_00214
-489.8338928222656,66.27590942382812,-496.8138362121582,-162.35618591308594,-1201.740966796875,False,,,13,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-17,1623075377,0.17394566535949707,8.987186908721924,35161,LOGGI004112,192.168.15.44,8.987186908721924,0,13,67d8a_00214
-486.7598876953125,66.27590942382812,-499.2700891113281,-162.35618591308594,-1201.740966796875,False,,,14,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-17,1623075377,0.17562651634216309,9.162813425064087,35161,LOGGI004112,192.168.15.44,9.162813425064087,0,14,67d8a_00214
-483.75323486328125,66.27590942382812,-495.49780990600584,-162.35618591308594,-1201.740966796875,False,,,15,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-17,1623075377,0.17571282386779785,9.338526248931885,35161,LOGGI004112,192.168.15.44,9.338526248931885,0,15,67d8a_00214
-480.6548767089844,66.27590942382812,-479.78528091430667,-162.35618591308594,-1201.740966796875,False,,,16,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-17,1623075377,0.18414783477783203,9.522674083709717,35161,LOGGI004112,192.168.15.44,9.522674083709717,0,16,67d8a_00214
-477.6228332519531,66.27590942382812,-474.36075424194337,-162.35618591308594,-1201.740966796875,False,,,17,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-17,1623075377,0.15780210494995117,9.680476188659668,35161,LOGGI004112,192.168.15.44,9.680476188659668,0,17,67d8a_00214
-474.7341613769531,66.27590942382812,-465.198863067627,-162.35618591308594,-1201.740966796875,False,,,18,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-18,1623075378,0.14072036743164062,9.821196556091309,35161,LOGGI004112,192.168.15.44,9.821196556091309,0,18,67d8a_00214
-471.8110656738281,66.27590942382812,-457.27638732910157,-162.35618591308594,-1201.740966796875,False,,,19,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-18,1623075378,0.1220395565032959,9.943236112594604,35161,LOGGI004112,192.168.15.44,9.943236112594604,0,19,67d8a_00214
-469.1293029785156,66.27590942382812,-463.20597518920897,-162.35618591308594,-1201.740966796875,False,,,20,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-18,1623075378,0.13112759590148926,10.074363708496094,35161,LOGGI004112,192.168.15.44,10.074363708496094,0,20,67d8a_00214
-466.2680358886719,66.27590942382812,-471.97803634643554,-162.35618591308594,-1500.302001953125,False,,,21,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-18,1623075378,0.12631893157958984,10.200682640075684,35161,LOGGI004112,192.168.15.44,10.200682640075684,0,21,67d8a_00214
-463.53045654296875,66.27590942382812,-472.1057208251953,-193.4974365234375,-1500.302001953125,False,,,22,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-18,1623075378,0.14107799530029297,10.341760635375977,35161,LOGGI004112,192.168.15.44,10.341760635375977,0,22,67d8a_00214
-460.8623046875,66.27590942382812,-468.150262298584,-191.97401428222656,-1500.302001953125,False,,,23,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-18,1623075378,0.16741061210632324,10.5091712474823,35161,LOGGI004112,192.168.15.44,10.5091712474823,0,23,67d8a_00214
-458.29071044921875,66.27590942382812,-479.86338638305665,-191.97401428222656,-1500.302001953125,False,,,24,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-18,1623075378,0.1278994083404541,10.637070655822754,35161,LOGGI004112,192.168.15.44,10.637070655822754,0,24,67d8a_00214
-455.69757080078125,66.27590942382812,-473.3081983947754,-191.97401428222656,-1500.302001953125,False,,,25,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-19,1623075379,0.16744613647460938,10.804516792297363,35161,LOGGI004112,192.168.15.44,10.804516792297363,0,25,67d8a_00214
-453.1552734375,66.27590942382812,-481.2835102844238,-191.97401428222656,-1500.302001953125,False,,,26,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-19,1623075379,0.14747953414916992,10.951996326446533,35161,LOGGI004112,192.168.15.44,10.951996326446533,0,26,67d8a_00214
-450.7153625488281,66.27590942382812,-468.8043586730957,-191.97401428222656,-1500.302001953125,False,,,27,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-19,1623075379,0.13868331909179688,11.09067964553833,35161,LOGGI004112,192.168.15.44,11.09067964553833,0,27,67d8a_00214
-448.2622985839844,66.27590942382812,-467.85700286865233,-191.97401428222656,-1500.302001953125,False,,,28,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-19,1623075379,0.13203001022338867,11.222709655761719,35161,LOGGI004112,192.168.15.44,11.222709655761719,0,28,67d8a_00214
-445.93255615234375,66.27590942382812,-463.69880599975585,-181.90652465820312,-1500.302001953125,False,,,29,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-19,1623075379,0.12147116661071777,11.344180822372437,35161,LOGGI004112,192.168.15.44,11.344180822372437,0,29,67d8a_00214
-443.50152587890625,66.27590942382812,-460.4753088378906,-181.90652465820312,-1500.302001953125,False,,,30,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-19,1623075379,0.12294197082519531,11.467122793197632,35161,LOGGI004112,192.168.15.44,11.467122793197632,0,30,67d8a_00214
-441.1029357910156,66.27590942382812,-441.0899041748047,-181.90652465820312,-881.5565185546875,False,,,31,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-19,1623075379,0.13840198516845703,11.605524778366089,35161,LOGGI004112,192.168.15.44,11.605524778366089,0,31,67d8a_00214
-438.8354797363281,66.27590942382812,-437.54311004638674,-181.90652465820312,-1031.4757080078125,False,,,32,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-20,1623075380,0.14981365203857422,11.755338430404663,35161,LOGGI004112,192.168.15.44,11.755338430404663,0,32,67d8a_00214
-436.50811767578125,66.27590942382812,-435.18911758422854,-181.90652465820312,-1031.4757080078125,False,,,33,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-20,1623075380,0.1679525375366211,11.923290967941284,35161,LOGGI004112,192.168.15.44,11.923290967941284,0,33,67d8a_00214
-434.2348937988281,66.27590942382812,-429.4367379760742,-181.90652465820312,-1031.4757080078125,False,,,34,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-20,1623075380,0.164276123046875,12.08756709098816,35161,LOGGI004112,192.168.15.44,12.08756709098816,0,34,67d8a_00214
-432.05462646484375,66.27590942382812,-434.3234436035156,-181.90652465820312,-1031.4757080078125,False,,,35,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-20,1623075380,0.1260387897491455,12.213605880737305,35161,LOGGI004112,192.168.15.44,12.213605880737305,0,35,67d8a_00214
-429.83233642578125,66.27590942382812,-427.41943862915036,-181.90652465820312,-1031.4757080078125,False,,,36,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-20,1623075380,0.16634035110473633,12.379946231842041,35161,LOGGI004112,192.168.15.44,12.379946231842041,0,36,67d8a_00214
-427.6678771972656,66.27590942382812,-426.67388122558594,-181.90652465820312,-1031.4757080078125,False,,,37,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-20,1623075380,0.12400031089782715,12.503946542739868,35161,LOGGI004112,192.168.15.44,12.503946542739868,0,37,67d8a_00214
-425.6749572753906,66.27590942382812,-432.13433853149417,-181.90652465820312,-1031.4757080078125,False,,,38,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-21,1623075381,0.16146564483642578,12.665412187576294,35161,LOGGI004112,192.168.15.44,12.665412187576294,0,38,67d8a_00214
-423.6537170410156,66.27590942382812,-439.5535879516602,-185.4420166015625,-1031.4757080078125,False,,,39,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-21,1623075381,0.13329339027404785,12.798705577850342,35161,LOGGI004112,192.168.15.44,12.798705577850342,0,39,67d8a_00214
-421.6259765625,66.27590942382812,-431.89479583740234,-185.4420166015625,-1031.4757080078125,False,,,40,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-21,1623075381,0.1331195831298828,12.931825160980225,35161,LOGGI004112,192.168.15.44,12.931825160980225,0,40,67d8a_00214
-419.6602783203125,66.27590942382812,-430.6939974975586,-185.4420166015625,-1031.4757080078125,False,,,41,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-21,1623075381,0.14819622039794922,13.080021381378174,35161,LOGGI004112,192.168.15.44,13.080021381378174,0,41,67d8a_00214
-417.70233154296875,66.27590942382812,-429.38373596191406,-185.4420166015625,-939.5509033203125,False,,,42,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-21,1623075381,0.1814863681793213,13.261507749557495,35161,LOGGI004112,192.168.15.44,13.261507749557495,0,42,67d8a_00214
-415.7148132324219,66.27590942382812,-423.21921112060545,-185.4420166015625,-939.5509033203125,False,,,43,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-22,1623075382,0.30120038986206055,13.562708139419556,35161,LOGGI004112,192.168.15.44,13.562708139419556,0,43,67d8a_00214
-413.72412109375,66.27590942382812,-418.4210888671875,-185.4420166015625,-939.5509033203125,False,,,44,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-22,1623075382,0.21915817260742188,13.781866312026978,35161,LOGGI004112,192.168.15.44,13.781866312026978,0,44,67d8a_00214
-411.6911926269531,66.27590942382812,-413.7124565124512,-161.93821716308594,-939.5509033203125,False,,,45,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-22,1623075382,0.17719173431396484,13.959058046340942,35161,LOGGI004112,192.168.15.44,13.959058046340942,0,45,67d8a_00214
-409.7073669433594,66.27590942382812,-418.35636932373046,-161.93821716308594,-939.5509033203125,False,,,46,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-22,1623075382,0.17673826217651367,14.135796308517456,35161,LOGGI004112,192.168.15.44,14.135796308517456,0,46,67d8a_00214
-407.8807067871094,66.27590942382812,-432.4373191833496,-161.93821716308594,-939.5509033203125,False,,,47,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-22,1623075382,0.18326187133789062,14.319058179855347,35161,LOGGI004112,192.168.15.44,14.319058179855347,0,47,67d8a_00214
-405.967041015625,66.27590942382812,-418.33402862548826,-161.93821716308594,-939.5509033203125,False,,,48,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-23,1623075383,0.22629857063293457,14.545356750488281,35161,LOGGI004112,192.168.15.44,14.545356750488281,0,48,67d8a_00214
-404.1150817871094,66.27590942382812,-400.2739685058594,-161.93821716308594,-842.69384765625,False,,,49,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-23,1623075383,0.23019671440124512,14.775553464889526,35161,LOGGI004112,192.168.15.44,14.775553464889526,0,49,67d8a_00214
-402.26129150390625,66.27590942382812,-420.5894061279297,-161.93821716308594,-940.1345825195312,False,,,50,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-23,1623075383,0.24721908569335938,15.022772550582886,35161,LOGGI004112,192.168.15.44,15.022772550582886,0,50,67d8a_00214
-400.49200439453125,66.27590942382812,-421.12043518066406,-161.93821716308594,-940.1345825195312,False,,,51,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-23,1623075383,0.17535829544067383,15.19813084602356,35161,LOGGI004112,192.168.15.44,15.19813084602356,0,51,67d8a_00214
-398.7565002441406,66.27590942382812,-424.2341744995117,-161.93821716308594,-940.1345825195312,False,,,52,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-23,1623075383,0.18129825592041016,15.37942910194397,35161,LOGGI004112,192.168.15.44,15.37942910194397,0,52,67d8a_00214
-396.98590087890625,66.27590942382812,-417.99751708984377,-161.93821716308594,-940.1345825195312,False,,,53,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-24,1623075384,0.23411059379577637,15.613539695739746,35161,LOGGI004112,192.168.15.44,15.613539695739746,0,53,67d8a_00214
-395.210205078125,66.27590942382812,-417.53930587768554,-161.93821716308594,-940.1345825195312,False,,,54,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-24,1623075384,0.26729345321655273,15.880833148956299,35161,LOGGI004112,192.168.15.44,15.880833148956299,0,54,67d8a_00214
-393.4385070800781,66.27590942382812,-414.7728125,-168.2582244873047,-940.1345825195312,False,,,55,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-24,1623075384,0.20150971412658691,16.082342863082886,35161,LOGGI004112,192.168.15.44,16.082342863082886,0,55,67d8a_00214
-391.7851867675781,66.27590942382812,-402.2513117980957,-168.2582244873047,-940.1345825195312,False,,,56,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-24,1623075384,0.21107697486877441,16.29341983795166,35161,LOGGI004112,192.168.15.44,16.29341983795166,0,56,67d8a_00214
-390.0928649902344,66.27590942382812,-391.7162254333496,-168.2582244873047,-940.1345825195312,False,,,57,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-25,1623075385,0.21320533752441406,16.506625175476074,35161,LOGGI004112,192.168.15.44,16.506625175476074,0,57,67d8a_00214
-388.45794677734375,66.27590942382812,-398.2151239013672,-168.2582244873047,-940.1345825195312,False,,,58,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-25,1623075385,0.26822853088378906,16.774853706359863,35161,LOGGI004112,192.168.15.44,16.774853706359863,0,58,67d8a_00214
-386.7908935546875,66.27590942382812,-413.0598065185547,-168.2582244873047,-940.1345825195312,False,,,59,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-25,1623075385,0.22875118255615234,17.003604888916016,35161,LOGGI004112,192.168.15.44,17.003604888916016,0,59,67d8a_00214
-385.2163391113281,66.27590942382812,-393.1258319091797,-168.2582244873047,-715.0762939453125,False,,,60,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-25,1623075385,0.23801326751708984,17.241618156433105,35161,LOGGI004112,192.168.15.44,17.241618156433105,0,60,67d8a_00214
-383.59735107421875,66.27590942382812,-395.4810662841797,-130.31759643554688,-761.9464111328125,False,,,61,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-26,1623075386,0.2203524112701416,17.461970567703247,35161,LOGGI004112,192.168.15.44,17.461970567703247,0,61,67d8a_00214
-382.052734375,66.27590942382812,-382.7023080444336,-130.31759643554688,-761.9464111328125,False,,,62,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-26,1623075386,0.23648476600646973,17.698455333709717,35161,LOGGI004112,192.168.15.44,17.698455333709717,0,62,67d8a_00214
-380.4238586425781,66.27590942382812,-388.10683197021484,-130.31759643554688,-761.9464111328125,False,,,63,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-26,1623075386,0.2033677101135254,17.901823043823242,35161,LOGGI004112,192.168.15.44,17.901823043823242,0,63,67d8a_00214
-378.9520263671875,66.27590942382812,-389.8059489440918,-130.31759643554688,-761.9464111328125,False,,,64,8674d89831b24950a5cb35b34749022b,2021-06-07_11-16-26,1623075386,0.22584939002990723,18.12767243385315,35161,LOGGI004112,192.168.15.44,18.12767243385315,0,64,67d8a_00214
